festival_id,schedules
1,18
2,21
4,"09,10,11,12"
5,"10,11,12"
6,"10,11,12"
7,"10,11,12"
8,"10,11,12"
9,"10,11,12"
10,"10,11,12"
11,"10,11,12"
12,"11,12"
13,"11,12,13"
14,"11,12,13"
15,"11,12,13"
16,"11,12,13"
17,"11,12,13"
18,"11,12,13"
19,"11,12,13"
20,"16,17,18,19,20"
21,"17,18,19"
22,"17,18,19"
23,"17,18,19"
24,"17,18,19,20"
25,"17,18,19,20"
26,"17,18,19,20"
27,"17,18,19,20,21"
28,"17,18,19"
29,"18, 19"
30,"18,19"
31,"18,19,20"
32,"18,19,20"
33,"18,19,20"
34,"18,19,20"
35,"18,19,20"
36,"18,19,20"
37,"18,19,20"
38,"18,19,20"
39,"18,19,20"
40,"18,19,20"
41,"19,20,21"
42,"20,21"
43,"23,24"
44,"23,24,25,26,27"
45,"23,24,25,26,27"
46,"24,25"
47,"24,25,26"
48,"24,25,26"
49,"24,25,26"
50,"24,25,26"
51,"24,25,26,27"
52,"24,25,26,27"
53,"25,26"
54,"25,26,27"
55,"25,26,27"
56,"25,26,27"
57,"25,26,27"
58,"25,26,27"
59,"25,26,27"
60,"25,26,27"
