univ,schedules,day1,day2,day3,day4
세종대,"09,10,11,12",델리민주,십센치(10cm),"거미, 케빈오, 천단비, 나인뮤지스","아이오아이(I.O.I), 에픽하이(Epik High), DJ Party"
한국기술교대,"10,11,12",,,"산이(San E),키썸(kisum)",
한세대,"10,11",마마무(Mamamoo),"쿠마, 도끼(Dok2), 더콰이엇(The Quiett)",,
명지대(용인),"10,11,12",,"벤,마마무(Mamamoo)","산이(San E),도끼(Dok2),더콰이엇(The Quiett)",
계명대(달서구),"10,11,12",SG워너비,,피에스타(FIESTAR),
한남대,"10,11,12","양동근,전우람,달샤벳,나비,전우람,포스트맨",다이나믹 듀오(Dynamic Duo),"DJ.S-PSYCHO, 블랙퀸",
경성대,"10,11,12",싸이(PSY),장범준,"버벌진트(Verbal Jint), EXID, 다이나믹 듀오(Dynamic Duo)",
상명대(천안),"10,11,12","산이(San E),홍진영","Loxx Punkman,빈지노(Beenzino),그레이스(GRACE),버벌진트(Verbal Jint)","베티엘,김보경,어쿠스틱콜라보",
원광대,"10,11,12",먼데이키즈,"씨스타,십센치(10cm),에일리",매드클라운(Mad Clown),
건양대(논산),"10,11,12",,"투빅(2bic),어반자카파,더크로스","DJ Crew,블랙넛,천재노창",
홍익대(세종),"10,11,12",마마무(Mamamoo),V.O.S,,
고려대(세종),"11,12","마마무(Mamamoo), 베이식(Basick)","긱스(Geeks),한해,인크레더블",,
한동대,"11,12,13",없음,,,
추계예술대,"11,12,13",로맨틱펀치,,긱스(Geeks),
성균관대(수원),"11,12,13","마마무(Mamamoo),싸이(PSY), DJ Conan,DJ Alpha","크라잉넛,어반자카파,몽니,데이브레이크,어쿠스틱콜라보,솔루션스,랄라스윗,고고보이즈","에픽하이(Epik High),로꼬(Loco),그레이(Gray),DJ Bagagee",
한국해양대,"11,12,13","천재노창, 기리보이",,씨크릿,
건국대,"11,12,13","길구봉구,싸이(PSY)","긱스(Geeks),마마무(Mamamoo)",,
서경대,"11,12,13",,트와이스(Twice),"씨스타,버벌진트(Verbal Jint),기리보이,천재노창",
서울대,"10,11,12","김사월,김해원",APACHI,빈지노(Beenzino),
단국대(천안),"11,12,13","리브하이,언터쳐블","투빅(2bic),여자친구",,
선문대,"11,12,13",밤비노,"긱스(Geeks),DJ DOC",,
부경대(대연),"16,17,18,19",트와이스(Twice),"벤, 소심한 오빠들",,
부경대(용당),"18,19",산이(San E),,,
동양대,"17,18,19",,,,
명지대(서울),"17,18,19","홍진영,그레이(Gray),사이먼디(SimonD)","아놀드홍,소심한오빠들,레드벨벳","DJ PARTY with Maxim,배드키즈",
성균관대(서울),"17,18,19","장미여관,로꼬(Loco),박재범,윤도현밴드(YB),DJ Maximite & DJ Juncoco","긱스(Geeks),아이오아이(I.O.I),휘성,거미,에일리,SKKIP","기리보이,바스코(Vasco),빈지노(Beenzino), 도끼(Dok2),더콰이엇(The Quiett),타이거JK,윤미래,비지(bizzy),DJ KOO",
부산대,"17,18,19,20",,,"다이나믹 듀오(Dynamic Duo), 산이(San E), 매드클라운(Mad Clown), DJ Baryonyx, DJ Airmax",
